repeticao,ari_reamostragem,silhueta_reamostragem,davies_bouldin_reamostragem,ari_perturbaca
0,0.8213512454425912,0.9284170357100646,0.4946377823748264,1.0
1,0.9693034625860516,0.9393589729296712,0.6105280010384058,1.0
2,0.6628429226626793,0.9158792839281815,0.6246917988692741,1.0
3,0.7976187686188766,0.9240532733265958,0.6434014037741563,1.0
4,1.0,0.9444582108231167,0.5095917623108811,1.0
5,1.0,0.9432492120684695,0.5993549475160908,1.0
6,0.9673511874186096,0.9405488388826879,0.5982457156544794,1.0
7,0.9693034625860516,0.9423280512298939,0.6149124954250943,1.0
8,0.9673511874186096,0.9418576612132439,0.6153449769353375,1.0
9,0.03760665089625411,0.6228536057092099,1.1391092039529433,1.0
10,1.0,0.9454480641288237,0.539820909584057,1.0
11,1.0,0.939297268504483,0.5049342530072277,1.0
12,1.0,0.9465371145485535,0.6085095208083545,1.0
13,1.0,0.9431331935548621,0.5015929980191391,1.0
14,0.9673511874186096,0.9416531065377614,0.5988420266041067,1.0
15,0.8685208777857234,0.9562347073621377,0.6002301295797126,1.0
16,0.92233612545777,0.9499751271157894,0.5928483179035381,1.0
17,1.0,0.9459293398689188,0.5034158140817895,1.0
18,0.9177742139758713,0.9350505455745522,0.6104929451306286,1.0
19,0.8630446069938662,0.9352889131101738,0.5983540424202675,1.0
20,1.0,0.9458038188055162,0.6373889292420635,1.0
21,0.9693034625860516,0.9395527051539584,0.6127400318571938,1.0
22,1.0,0.945484605350581,0.6040008617266355,1.0
23,1.0,0.9457903599806339,0.505319325600018,1.0
24,0.9651115947167909,0.9401975927178086,0.5270423546001551,1.0
25,1.0,0.942668420037556,0.5055109374668473,1.0
26,1.0,0.9458486117685041,0.5985815707526533,1.0
27,1.0,0.9448792854249851,0.606803861826762,1.0
28,1.0,0.9428037869087529,0.5819133564830622,1.0
29,1.0,0.9446045416882728,0.5209199464119192,1.0
30,0.9693034625860516,0.9427025603543654,0.5972998088842331,1.0
31,1.0,0.9467036649697055,0.5116654094404354,1.0
32,0.8651662210391963,0.928838305960339,0.5234978395346901,1.0
33,1.0,0.9401944855386138,0.4860521063395782,1.0
34,0.8447721604034222,0.9351545814258544,0.6038835175574508,1.0
35,0.9725747373799136,0.9411513638533759,0.6070312350845173,1.0
36,0.9651115947167909,0.9353782476229455,0.49777947084595064,1.0
37,1.0,0.9467549526053323,0.6284516091269591,1.0
38,0.9595993607920171,0.9479051915084149,0.5146494261236666,1.0
39,1.0,0.9438794508741407,0.4668626206199978,1.0
40,1.0,0.9469928153860134,0.5915548405553097,1.0
41,0.9693034625860516,0.9397344162212071,0.5957185744665251,1.0
42,0.9595993607920171,0.9510486018814097,0.5019295900530346,1.0
43,1.0,0.9475800238989233,0.6316799050178301,1.0
44,1.0,0.9438123485849174,0.6303330652136608,1.0
45,0.9673511874186096,0.9406561346715085,0.6309460080541259,1.0
46,1.0,0.9440031591420678,0.5286449303883661,1.0
47,0.9651295838678345,0.9470742788000068,0.5932736144333651,1.0
48,1.0,0.9472891361070586,0.5934331146612314,1.0
49,0.962559653381306,0.9384598853727487,0.5206123279042516,1.0
50,1.0,0.9464606956958972,0.547675023507959,1.0
51,0.839961835832766,0.933495088407318,0.604766436701512,1.0
52,0.7976187686188766,0.9237365960813525,0.585324311037798,1.0
53,0.92233612545777,0.9516333497035087,0.6053406633485688,1.0
54,1.0,0.9435148395226677,0.5204541048485547,1.0
55,1.0,0.9417409539781448,0.5014276645870476,1.0
56,0.9020627933405583,0.9355087980346315,0.533071171123086,1.0
57,0.8808220045337477,0.9377344109719407,0.49585751337162837,1.0
58,1.0,0.9452957159290939,0.6139250554567964,1.0
59,0.9625787964221187,0.9456542766358741,0.5734918135643922,1.0
60,0.05073521517678473,0.619305310423727,1.1306414997096692,1.0
61,1.0,0.9464708799897916,0.5871704364719631,1.0
62,1.0,0.9461147059051844,0.6026109780926396,1.0
63,0.9519870252462928,0.9531475620374688,0.5325857083784535,1.0
64,1.0,0.9441987973682591,0.6153548959525804,1.0
65,1.0,0.9461900260916298,0.5621077786929742,1.0
66,0.9693034625860516,0.9396432292036357,0.5942250841669298,1.0
67,0.9693034625860516,0.9392033080578092,0.588616946426476,1.0
68,0.8368775740241523,0.9360562353031315,0.4937959780677212,1.0
69,0.9673511874186096,0.9438629933256297,0.6196783373826054,1.0
70,1.0,0.9455771991929468,0.5082508594520101,1.0
71,1.0,0.9430430216311672,0.5406212064520226,1.0
72,0.962559653381306,0.9407221154633936,0.5287500236179165,1.0
73,0.8104505257203916,0.93573049504732,0.607296123321755,1.0
74,0.8556608476272944,0.9357518258039733,0.5208775425358853,1.0
75,0.9367347698111926,0.9392187916402029,0.5766019906219294,1.0
76,0.9693034625860516,0.9407858021170054,0.6078948425925494,1.0
77,1.0,0.9442096613537373,0.5077011521740055,1.0
78,0.8467103606265763,0.9328251597787907,0.5888010196178577,1.0
79,0.9673511874186096,0.93971729272347,0.6225112029689268,1.0
