Método,Grupos,Silhueta,Davies-Bouldin,Ruído (n),Ruído (%)
K-means,3,0.9442753958144068,0.5901246859194832,0,0.0
Hierárquico (amostra),3,0.9251329946400165,0.5304894202448543,0,0.0
DBSCAN,2,0.7636485526003159,0.22388235087154512,177,4.079280940308827
